Timeline,Start time,Duration,Row,Original Instance,BOB,COMMENTS,CP,D COVERAGES,D KIND OF SCREEN,D POST UP,D ROLL,D SCREEN LOCATION,D SCREENER,D SITUATION,GENERATOR,GRAVITY HANDLER PLAYER,GRAVITY SCREENER,GRAVITY SCREENER PLAYER,HANDLER GRAVITY,MOVES,O COVERAGES,O KIND OF SCREEN,O POST UP,O ROLL,O SCREEN LOCATION,O SCREENER,OPPONENTS PLAY CALLS,PAINT TOUCHES,PLAN/BROKEN PLAY,PLAY CALLS,PLAYER PT,PLAYERS,PLAYERS 2ND,PRESSING,QUALITY,QUARTER,RESULTS,RESULTS 2ND,SITUATION,SOB,SPECIAL,Shot Location,VIDEO,ZONE,Ungrouped,Notes,Flags,ocr_quarter,start_time_game_clock,player_name,action,action_game_clock,shot_clock,team1_score,team2_score,team1_p1_name,team1_p2_name,team1_p3_name,team1_p4_name,team1_p5_name,team2_p1_name,team2_p2_name,team2_p3_name,team2_p4_name,team2_p5_name
Venezia - Olimpia Milano 26-04-26,2787.717688888889,18.701469240111237,DEFENSE,DEFENSE: 55,,,,PUSH,SLIP,,SHORT ROLL,SLOT R,5,P&R Cut,,#10 Bolmaro Leandro,SCREENER,#32 Nebo Josh,HANDLER,,,,,,,,FREE LANCE,ROLL,,,#32 Nebo Josh,#17 Ricci Giampaolo,,,5,3 Q,0-2 FT,,,,,Rim,Y,,,,,3,06:56,Ricci Giampaolo,PERSONAL_FOUL,06:53,19,41,61,Valentine Denzel,Wiltjer Kyle,Cole R.J.,Tessitori Amedeo,Wheatle Carl,Bolmaro Leandro,Ricci Giampaolo,Ellis Quinn,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,2861.13614286,18.99713491800003,DEFENSE,DEFENSE: 56,,,,,,,,,,MULTIPLE OPTIONS,,,,,,,,,,,,,DRAG 4,,,,,#10 Bolmaro Leandro,,,,3 Q,F,,,,,,Y,,,,,3,06:22,Bolmaro Leandro,PERSONAL_FOUL,06:10,12,41,64,Valentine Denzel,Wiltjer Kyle,Cole R.J.,Tessitori Amedeo,Wheatle Carl,Bolmaro Leandro,Ricci Giampaolo,Mannion Nico,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,2914.731415031,18.79633800800002,DEFENSE,DEFENSE: 57,,,,,,,,,,MULTIPLE OPTIONS,,,,,,,,,,,,,BOB,,,,,#32 Nebo Josh,,,3,3 Q,3P+,,,,,Left Wing 3,Y,,,,,3,06:05,Mannion Nico,TURNOVER,05:43,8,44,64,Cole R.J.,Tessitori Amedeo,Parks Jordan,Wheatle Carl,Bowman Ky,Ricci Giampaolo,Mannion Nico,Shields Shavon,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,2977.938431223,9.086590999222153,DEFENSE,DEFENSE: 58,,,,,,,,,,FB,,,,,,,,,,,,,FB,,,,,#17 Ricci Giampaolo,,,,3 Q,OB,,,,,,Y,,,,,4,05:39,Nebo Josh,DEFENSIVE_REBOUND,05:28,13,44,64,Cole R.J.,Tessitori Amedeo,Parks Jordan,Wheatle Carl,Bowman Ky,Ricci Giampaolo,Mannion Nico,Shields Shavon,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,2993.79221295,14.812273417000142,DEFENSE,DEFENSE: 59,,,,,,,,,,1on1,,,,,,,,,,,,,BOB,DR P,,,#32 Nebo Josh,#32 Nebo Josh,,,2,3 Q,IN-,,,,,Rim,Y,,,,,3,05:34,Nebo Josh,DEFENSIVE_REBOUND,05:28,13,44,64,Cole R.J.,Tessitori Amedeo,Parks Jordan,Wheatle Carl,Bowman Ky,Ricci Giampaolo,Mannion Nico,Shields Shavon,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,3026.091200962,18.279649617999894,DEFENSE,DEFENSE: 60,,,,TRAIL HO,,,,SIDE OUT L,5,HO Handler,,#12 Brooks Armoni,SCREENER,#32 Nebo Josh,HANDLER,,,,,,,,TRANSITION LP,,,,,#12 Brooks Armoni,,,2,3 Q,3P+,,,,,Left Corner 3,Y,,,,,3,05:10,Shields Shavon,PERSONAL_FOUL_RECEIVED,04:34,8,47,64,Cole R.J.,Tessitori Amedeo,Parks Jordan,Wheatle Carl,Bowman Ky,Ricci Giampaolo,Mannion Nico,Shields Shavon,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,3130.012615665,24.78660655700014,DEFENSE,DEFENSE: 61,,,,PUSH,,,,SLOT R,5,P&R Handler,,#1 Mannion Nico,SCREENER,#32 Nebo Josh,HANDLER,,,,,,,,AWAY ISO,P&R,,,#1 Mannion Nico,#1 Mannion Nico,,,4,3 Q,2-2 FT,,,,,,Y,,,,,3,04:16,Mannion Nico,PERSONAL_FOUL,04:01,9,47,64,Cole R.J.,Tessitori Amedeo,Parks Jordan,Wheatle Carl,Bowman Ky,LeDay Zach,Mannion Nico,Shields Shavon,Guduric Marko,Nebo Josh
Venezia - Olimpia Milano 26-04-26,3213.039907295,21.209455961000003,DEFENSE,DEFENSE: 62,,,,FLAT,,,,SLOT R,5,P&R 1on1,,#31 Shields Shavon,SCREENER,#32 Nebo Josh,HANDLER,,,,,,,,DRAG,,,,,#16 Le Day Zach,,,3,3 Q,3P+,,,,,Left Wing 3,Y,,,,,3,03:42,Shields Shavon,TWO_POINT_MADE,03:20,17,52,66,Horton Chris,Cole R.J.,Parks Jordan,Wheatle Carl,Bowman Ky,LeDay Zach,Diop Ousmane,Mannion Nico,Shields Shavon,Guduric Marko
Venezia - Olimpia Milano 26-04-26,3264.742847173,22.6557641993204,DEFENSE,DEFENSE: 63,,,,,,,,,,1on1 Cut,,,,,,,,,,,,,DRAG 4 CORNERS,CUT,,,#16 Le Day Zach,#16 Le Day Zach,,,5,3 Q,2-2 FT,,,,,Rim,Y,,,,,3,03:11,LeDay Zach,PERSONAL_FOUL,03:02,,52,66,Horton Chris,Cole R.J.,Parks Jordan,Wheatle Carl,Bowman Ky,LeDay Zach,Diop Ousmane,Mannion Nico,Shields Shavon,Guduric Marko
Venezia - Olimpia Milano 26-04-26,3377.125172573,21.367729172000054,DEFENSE,DEFENSE: 64,,,,,,,,,,1on1 Cut,,,,,,,,,,,,,AWAY,CUT,,,#31 Shields Shavon,#25 Diop Ousmane,,,5,3 Q,IN+,,,,,Rim,Y,,,,,3,02:35,Diop Ousmane,PERSONAL_FOUL_RECEIVED,02:12,21,56,66,Horton Chris,Candi Leonardo,Parks Jordan,Wheatle Carl,Bowman Ky,Diop Ousmane,Bolmaro Leandro,Mannion Nico,Shields Shavon,Guduric Marko
