Timeline,Start time,Duration,Row,Original Instance,BOB,COMMENTS,CP,D COVERAGES,D KIND OF SCREEN,D POST UP,D ROLL,D SCREEN LOCATION,D SCREENER,D SITUATION,GENERATOR,GRAVITY HANDLER PLAYER,GRAVITY SCREENER,GRAVITY SCREENER PLAYER,HANDLER GRAVITY,MOVES,O COVERAGES,O KIND OF SCREEN,O POST UP,O ROLL,O SCREEN LOCATION,O SCREENER,OPPONENTS PLAY CALLS,PAINT TOUCHES,PLAN/BROKEN PLAY,PLAY CALLS,PLAYER PT,PLAYERS,PLAYERS 2ND,PRESSING,QUALITY,QUARTER,RESULTS,RESULTS 2ND,SITUATION,SOB,SPECIAL,Shot Location,VIDEO,ZONE,Ungrouped,Notes,Flags,ocr_quarter,start_time_game_clock,player_name,action,action_game_clock,shot_clock,team1_score,team2_score,team1_p1_name,team1_p2_name,team1_p3_name,team1_p4_name,team1_p5_name,team2_p1_name,team2_p2_name,team2_p3_name,team2_p4_name,team2_p5_name
Venezia - Olimpia Milano 26-04-26,11.024596448,17.340320661,OFFENSE,OFFENSE: 1,,,,,,,,,,,,#31 Shields Shavon,SCREENER,#32 Nebo Josh,HANDLER,L RIP DRIVE,HEDGE,,,,STACK SIDE L,5,,DR P,,25 HEAD,,#16 Le Day Zach,#31 Shields Shavon,,2,1 Q,IN-,,P&R 1on1,,,Paint,Y,,,,,,,,,,,,,,,,,,,,,,
Venezia - Olimpia Milano 26-04-26,47.712769278,22.183086930330056,OFFENSE,OFFENSE: 2,,,,,,,,,,,,#3 Ellis Quinn,SCREENER,#16 Le Day Zach,HANDLER,L DRIVE OP DR.,HEDGE,SLIP,,POP,SLOT R,4,,,,5,,#3 Ellis Quinn,,,5,1 Q,2-2 FT,,P&R Handler,,,Rim,Y,,,,,1,09:27,Ellis Quinn,PERSONAL_FOUL_RECEIVED,09:11,9,0,0,Valentine Denzel,Wiltjer Kyle,Cole R.J.,Tessitori Amedeo,Parks Jordan,LeDay Zach,Ellis Quinn,Shields Shavon,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,118.038560008,11.451011266000009,OFFENSE,OFFENSE: 3,,,,,,,,,,,,,,,,R PU ST,,,,,,,,,,FREE LANCE,,#31 Shields Shavon,,,1,1 Q,2P+,,1on1,,,Right Wing Mid-Range,Y,,,,,1,08:53,Shields Shavon,TWO_POINT_MADE,08:46,18,0,4,Valentine Denzel,Wiltjer Kyle,Cole R.J.,Tessitori Amedeo,Parks Jordan,LeDay Zach,Ellis Quinn,Shields Shavon,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,148.977199196,9.060854109000019,OFFENSE,OFFENSE: 4,,,,,,,,,,,FB,#31 Shields Shavon,SCREENER,#32 Nebo Josh,HANDLER,,DROP,,,,SLOT L,5,,P&R,,5,#31 Shields Shavon,#31 Shields Shavon,,,1,1 Q,TO,,P&R Handler,,,Paint,Y,,,,,1,08:23,Shields Shavon,TURNOVER,08:15,17,0,4,Valentine Denzel,Wiltjer Kyle,Cole R.J.,Tessitori Amedeo,Parks Jordan,LeDay Zach,Ellis Quinn,Shields Shavon,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,166.897459422,20.167096119000007,OFFENSE,OFFENSE: 5,,,,,,,,,,,"FB, FB",#12 Brooks Armoni,SCREENER,#16 Le Day Zach,HANDLER,R DRIVE OP DR.,SWITCH 1on1,,,POP,TOP R,4,,P&R,,AWAY SHORT 4,#12 Brooks Armoni,#12 Brooks Armoni,,,3,1 Q,IN-,,P&R Handler,,,Rim,Y,,,,,1,08:05,Brooks Armoni,TWO_POINT_MISSED,07:47,10,3,4,Valentine Denzel,Wiltjer Kyle,Cole R.J.,Tessitori Amedeo,Parks Jordan,LeDay Zach,Ellis Quinn,Shields Shavon,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,193.878502445,19.148926568999997,OFFENSE,OFFENSE: 6,,,,,,,,,,,,#3 Ellis Quinn,SCREENER,#32 Nebo Josh,HANDLER,ALLEY OOP,DROP,,,,,5,,ROLL,,5,#32 Nebo Josh,#32 Nebo Josh,#3 Ellis Quinn,,5,1 Q,IN+,PASS,P&R Screener,,,Rim,Y,,,,,1,07:37,Nebo Josh,TWO_POINT_MADE,07:22,10,5,6,Valentine Denzel,Wiltjer Kyle,Cole R.J.,Tessitori Amedeo,Parks Jordan,LeDay Zach,Ellis Quinn,Shields Shavon,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,234.628675539,17.988881711999994,OFFENSE,OFFENSE: 7,,,,,,,,,,,"FB, FB",#31 Shields Shavon,SCREENER,#16 Le Day Zach,HANDLER,,HEDGE,,,,SIDE L,4,,ROLL,,5,#16 Le Day Zach,#16 Le Day Zach,,,1,1 Q,TO,,P&R Screener,,,Left Short Corner,Y,,,,,1,06:56,LeDay Zach,TURNOVER,06:42,11,7,6,Valentine Denzel,Wiltjer Kyle,Cole R.J.,Tessitori Amedeo,Parks Jordan,LeDay Zach,Ellis Quinn,Shields Shavon,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,259.004776202,13.953055831999961,OFFENSE,OFFENSE: 8,,,,,,,,,,,,#12 Brooks Armoni,SCREENER,#16 Le Day Zach,HANDLER,R RIP DRIVE,DROP,,,POP,SLOT L,4,,DR P,,FLASH,#16 Le Day Zach,,,,5,1 Q,,,P&R Screener,,,Rim,Y,,,,,1,06:32,LeDay Zach,TWO_POINT_MADE,06:22,15,9,8,Valentine Denzel,Wiltjer Kyle,Cole R.J.,Tessitori Amedeo,Parks Jordan,LeDay Zach,Ellis Quinn,Shields Shavon,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,326.0466246,24.468311538341993,OFFENSE,OFFENSE: 9,,,,,,,,,,,FB,#31 Shields Shavon,SCREENER,#16 Le Day Zach,HANDLER,C&S,HEDGE,,,POP,TOP R,4,,,BROKEN PLAY,AWAY SHORT 4,,#16 Le Day Zach,,,2,1 Q,3P-,,P&R Screener,,,Top of Key 3,Y,,,,,1,05:56,LeDay Zach,TWO_POINT_MISSED,05:36,5,12,8,Valentine Denzel,Wiltjer Kyle,Cole R.J.,Tessitori Amedeo,Parks Jordan,LeDay Zach,Ellis Quinn,Shields Shavon,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,356.963532352,17.484235189000003,OFFENSE,OFFENSE: 10,,,,,,,,,,,,#31 Shields Shavon,SCREENER,#32 Nebo Josh,HANDLER,L DR + FL,REJECT,,,,STACK TOP R,5,,P&R,,HEAD,#31 Shields Shavon,#31 Shields Shavon,,,4,1 Q,IN+,,P&R Handler,,,Paint,Y,,,,,1,05:25,Shields Shavon,TWO_POINT_MADE,05:14,13,12,10,Valentine Denzel,Wiltjer Kyle,Cole R.J.,Tessitori Amedeo,Parks Jordan,LeDay Zach,Ellis Quinn,Shields Shavon,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,390.061426699,10.001214363000031,OFFENSE,OFFENSE: 11,,,,,,,,,,,,#31 Shields Shavon,SCREENER,#32 Nebo Josh,HANDLER,R DRIVE OP DR.,DROP,SLIP,,,TOP R,5,,P&R,,FLASH,#31 Shields Shavon,#31 Shields Shavon,,,5,1 Q,IN+,,P&R Handler,,,Rim,Y,,,,,1,04:52,Shields Shavon,TWO_POINT_MADE,04:47,19,12,12,Valentine Denzel,Wiltjer Kyle,Cole R.J.,Tessitori Amedeo,Parks Jordan,LeDay Zach,Ellis Quinn,Shields Shavon,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,411.604602714,12.843532960000005,OFFENSE,OFFENSE: 12,,,,,,,,,,,,,,,,,,,,,,,,DR P,,FB,#12 Brooks Armoni,#12 Brooks Armoni,,,5,1 Q,2-2 FT,,FB,,,Rim,Y,,,,,1,04:30,Brooks Armoni,PERSONAL_FOUL_RECEIVED,04:29,21,12,12,Valentine Denzel,Wiltjer Kyle,Cole R.J.,Tessitori Amedeo,Parks Jordan,LeDay Zach,Ellis Quinn,Shields Shavon,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,551.459335775,9.933486285999948,OFFENSE,OFFENSE: 13,,,,,,,,,,,,,,,,,,,,,,,,DR P,,FB,,#31 Shields Shavon,"#3 Ellis Quinn, #31 Shields Shavon, #31 Shields Shavon",,4,1 Q,IN+,PASS,FB,,,Rim,Y,,,,,1,04:06,Shields Shavon,TWO_POINT_MADE,04:05,5,12,15,Wiltjer Kyle,Horton Chris,Cole R.J.,Parks Jordan,Bowman Ky,Ricci Giampaolo,Ellis Quinn,Shields Shavon,Guduric Marko,Nebo Josh
Venezia - Olimpia Milano 26-04-26,595.810924634,16.485189754999965,OFFENSE,OFFENSE: 14,,,,,,,,,,,"FB, FB",#31 Shields Shavon,SCREENER,#32 Nebo Josh,HANDLER,C&S,DROP,,,,STACK TOP R,5,,ROLL,,AWAY HEAD,#32 Nebo Josh,#3 Ellis Quinn,#31 Shields Shavon,,4,1 Q,3P-,PASS,P&R Spot up,,,Left Corner 3,Y,,,,,1,03:37,Ellis Quinn,THREE_POINT_MISSED,03:28,16,12,15,Wiltjer Kyle,Horton Chris,Cole R.J.,Parks Jordan,Bowman Ky,Ricci Giampaolo,Ellis Quinn,Shields Shavon,Guduric Marko,Nebo Josh
Venezia - Olimpia Milano 26-04-26,701.566333334,18.886571495,OFFENSE,OFFENSE: 15,,,,,,,,,,,,#23 Guduric Marko,SCREENER,#32 Nebo Josh,HANDLER,DUNK,DEEP DROP,,,,TOP R,5,,DR P,,FREE LANCE,#3 Ellis Quinn,#32 Nebo Josh,#3 Ellis Quinn,ZONE,5,1 Q,IN+,PASS,P&R Screener,,,Rim,Y,,,,,1,03:14,Nebo Josh,TWO_POINT_MADE,03:10,20,14,17,Wiltjer Kyle,Horton Chris,Cole R.J.,Parks Jordan,Bowman Ky,Bolmaro Leandro,Ricci Giampaolo,Ellis Quinn,Guduric Marko,Nebo Josh
Venezia - Olimpia Milano 26-04-26,730.998171355,15.98045034800009,OFFENSE,OFFENSE: 16,,,,,,,,,,,,,,,,L DRIVE OP DR.,,,,,,,,DR P,,FB,#3 Ellis Quinn,#3 Ellis Quinn,,,1,1 Q,IN-,,FB,,,Rim,Y,,,,,1,02:45,Ellis Quinn,TWO_POINT_MISSED,02:50,18,14,17,Wiltjer Kyle,Horton Chris,Cole R.J.,Parks Jordan,Bowman Ky,Bolmaro Leandro,Ricci Giampaolo,Ellis Quinn,Guduric Marko,Nebo Josh
Venezia - Olimpia Milano 26-04-26,775.861788873,18.340271747999964,OFFENSE,OFFENSE: 17,BOB 1 BLUE,,,,,,,,,,OR,,,,,C&S EX L-R,CHASE,,,,,,,,,,,#10 Bolmaro Leandro,,,2,1 Q,2P-,,SCREENS G,,,Right Short Corner,Y,,,,,1,02:35,Bolmaro Leandro,TWO_POINT_MADE,01:41,6,14,21,Wiltjer Kyle,Horton Chris,Candi Leonardo,Wheatle Carl,Bowman Ky,Bolmaro Leandro,Ricci Giampaolo,Mannion Nico,Guduric Marko,Nebo Josh
Venezia - Olimpia Milano 26-04-26,794.202060621,16.892018711981336,OFFENSE,OFFENSE: 18,,,,,,,,,,,,,,,,,,,,,,,,,,OR,,#23 Guduric Marko,,,,1 Q,F,,OR,,,Right Corner 3,Y,,,,,1,02:34,Guduric Marko,PERSONAL_FOUL_RECEIVED,02:34,14,14,17,Wiltjer Kyle,Horton Chris,Candi Leonardo,Parks Jordan,Bowman Ky,Bolmaro Leandro,Ricci Giampaolo,Mannion Nico,Guduric Marko,Nebo Josh
Venezia - Olimpia Milano 26-04-26,826.141327787,11.476368799999932,OFFENSE,OFFENSE: 19,,,,,,,,,,,,#23 Guduric Marko,SCREENER,#32 Nebo Josh,HANDLER,ALLEY OOP,DROP,,,,STACK TOP L,5,,ROLL,,,#32 Nebo Josh,#32 Nebo Josh,,,5,1 Q,IN+,,P&R Screener,SOB AWAY 1 HEAD,,Rim,Y,,,,,1,02:27,Nebo Josh,TWO_POINT_MADE,02:28,11,14,19,Wiltjer Kyle,Horton Chris,Candi Leonardo,Wheatle Carl,Bowman Ky,Bolmaro Leandro,Ricci Giampaolo,Mannion Nico,Guduric Marko,Nebo Josh
Venezia - Olimpia Milano 26-04-26,876.888668202,23.790779939999993,OFFENSE,OFFENSE: 20,,,,,,,,,,,,#10 Bolmaro Leandro,SCREENER,#32 Nebo Josh,HANDLER,L DRIVE OP DR.,HEDGE,,,,STACK TOP L,5,,P&R,"BROKEN PLAY, BROKEN PLAY",HEAD,#10 Bolmaro Leandro,#10 Bolmaro Leandro,,,5,1 Q,IN+,,P&R Handler,,,Rim,Y,,,,,1,02:01,Bolmaro Leandro,TWO_POINT_MADE,01:41,6,14,21,Wiltjer Kyle,Horton Chris,Candi Leonardo,Wheatle Carl,Bowman Ky,Bolmaro Leandro,Ricci Giampaolo,Mannion Nico,Guduric Marko,Nebo Josh
Venezia - Olimpia Milano 26-04-26,918.494224242,8.30486229500002,OFFENSE,OFFENSE: 21,,,,,,,,,,,,,,,,"C&S, C&S",,,,,,,,DR P,,FB,#23 Guduric Marko,#17 Ricci Giampaolo,,,5,1 Q,3P+,,FB,,,Right Wing 3,Y,,,,,1,01:18,Ricci Giampaolo,THREE_POINT_MADE,01:16,22,14,24,Wiltjer Kyle,Horton Chris,Candi Leonardo,Wheatle Carl,Bowman Ky,Bolmaro Leandro,Ricci Giampaolo,Mannion Nico,Guduric Marko,Nebo Josh
Venezia - Olimpia Milano 26-04-26,959.297402689,20.81232985500003,OFFENSE,OFFENSE: 22,,,,,,,,,,,,#23 Guduric Marko,SCREENER,#25 Diop Ousmane,HANDLER,R PU ATT,DROP,SLIP,,,,5,,P&R,,L SIDE,#23 Guduric Marko,#23 Guduric Marko,,MAN,2,1 Q,2P-,,P&R Handler,,,Right Wing Mid-Range,Y,,,,,1,01:00,Guduric Marko,TWO_POINT_MISSED,00:43,,14,24,Horton Chris,Candi Leonardo,Nikolic Stefan,Wheatle Carl,Bowman Ky,Diop Ousmane,Bolmaro Leandro,Ricci Giampaolo,Mannion Nico,Guduric Marko
Venezia - Olimpia Milano 26-04-26,1020.110287787,27.91437555599998,OFFENSE,OFFENSE: 23,,,,,,,,,,,,#10 Bolmaro Leandro,SCREENER,#25 Diop Ousmane,HANDLER,C&S,DROP,,,,STACK TOP R,5,,P&R,,HEAD,#10 Bolmaro Leandro,#23 Guduric Marko,,,5,1 Q,3P+,,P&R Spot up,,,Left Corner 3,Y,,,,,1,01:00,Guduric Marko,TWO_POINT_MISSED,00:43,,14,24,Horton Chris,Candi Leonardo,Nikolic Stefan,Wheatle Carl,Bowman Ky,Diop Ousmane,Bolmaro Leandro,Ricci Giampaolo,Mannion Nico,Guduric Marko
Venezia - Olimpia Milano 26-04-26,1078.405463576,14.254818784000008,OFFENSE,OFFENSE: 24,,,,,,,,,,,,,,,,R LAY UP,,,,,,,,CUT,,ATO,#10 Bolmaro Leandro,#10 Bolmaro Leandro,#23 Guduric Marko,,5,2 Q,IN+,PASS,INSIDE  CUT,,ATO,Rim,Y,,,,,2,09:48,Bolmaro Leandro,TWO_POINT_MADE,09:33,11,14,29,Horton Chris,Candi Leonardo,Nikolic Stefan,Wheatle Carl,Bowman Ky,Diop Ousmane,Bolmaro Leandro,Ricci Giampaolo,Mannion Nico,Guduric Marko
Venezia - Olimpia Milano 26-04-26,1097.939436874,12.254518793999978,OFFENSE,OFFENSE: 25,,,,,,,,,,,OR,#1 Mannion Nico,SCREENER,#25 Diop Ousmane,HANDLER,C&S,DROP,FLIP,,,STACK TOP R,5,,,,HEAD,,#23 Guduric Marko,,,5,2 Q,3P-,,P&R Spot up,,,Left Wing 3,Y,,,,,2,09:27,Guduric Marko,THREE_POINT_MISSED,09:14,8,14,29,Horton Chris,Candi Leonardo,Nikolic Stefan,Wheatle Carl,Bowman Ky,Diop Ousmane,Bolmaro Leandro,Ricci Giampaolo,Mannion Nico,Guduric Marko
Venezia - Olimpia Milano 26-04-26,1110.193955668,4.094101263000084,OFFENSE,OFFENSE: 26,,,,,,,,,,,,,,,,R LAY UP,,,,,,,,,,OR,,#25 Diop Ousmane,,,5,2 Q,IN+,,OR,,,Rim,Y,,,,,2,09:15,Diop Ousmane,TWO_POINT_MADE,09:10,23,14,31,Horton Chris,Candi Leonardo,Nikolic Stefan,Wheatle Carl,Bowman Ky,Diop Ousmane,Bolmaro Leandro,Ricci Giampaolo,Mannion Nico,Guduric Marko
Venezia - Olimpia Milano 26-04-26,1138.595059552,20.042030552999904,OFFENSE,OFFENSE: 27,,,,,,,,,,,,,,,,L RIP DRIVE,,,4,,,,,PU,,TRANSITION LP,#17 Ricci Giampaolo,#25 Diop Ousmane,,,2,2 Q,TO,,POST UP 1on1,,,,Y,,,,,2,08:59,Diop Ousmane,TURNOVER,08:38,19,14,31,Horton Chris,Candi Leonardo,Nikolic Stefan,Wheatle Carl,Bowman Ky,Diop Ousmane,Bolmaro Leandro,Ricci Giampaolo,Mannion Nico,Guduric Marko
Venezia - Olimpia Milano 26-04-26,1221.833460885,34.31127251299995,OFFENSE,OFFENSE: 28,,,,,,,,,,,OR,#1 Mannion Nico,SCREENER,#25 Diop Ousmane,HANDLER,C&S,SWITCH,,,,STACK TOP R,5,,,,HEAD,,#17 Ricci Giampaolo,,ZONE,4,2 Q,3P-,,P&R Spot up,,,Right Corner 3,Y,,,,,2,08:33,Ricci Giampaolo,THREE_POINT_MISSED,08:14,4,16,31,Horton Chris,Candi Leonardo,Cole R.J.,Nikolic Stefan,Wheatle Carl,Diop Ousmane,Bolmaro Leandro,Ricci Giampaolo,Mannion Nico,Guduric Marko
Venezia - Olimpia Milano 26-04-26,1256.144733398,20.318915514000082,OFFENSE,OFFENSE: 29,,,,,,,,,,,,#10 Bolmaro Leandro,SCREENER,#17 Ricci Giampaolo,HANDLER,L PU ATT,FLAT,SLIP,,,SLOT R,4,,P&R,,FREE LANCE OR,#10 Bolmaro Leandro,#10 Bolmaro Leandro,,,3,2 Q,2P + 0,,"OR, P&R Handler",,,FT Area,Y,,,,,2,08:13,Bolmaro Leandro,TWO_POINT_MADE,08:01,2,16,33,Horton Chris,Candi Leonardo,Cole R.J.,Nikolic Stefan,Wheatle Carl,Diop Ousmane,Bolmaro Leandro,Ricci Giampaolo,Mannion Nico,Guduric Marko
Venezia - Olimpia Milano 26-04-26,1335.668700909,33.022951080654366,OFFENSE,OFFENSE: 30,,,,,,,,,,,,#10 Bolmaro Leandro,SCREENER,#17 Ricci Giampaolo,HANDLER,R LAY UP,SWITCH LP,,,,SIDE R,4,,ROLL,,5,#17 Ricci Giampaolo,#17 Ricci Giampaolo,,MAN,5,2 Q,2-2 FT,,P&R Screener,,,Rim,Y,,,,,2,07:46,Ricci Giampaolo,PERSONAL_FOUL_RECEIVED,07:27,,18,33,Horton Chris,Candi Leonardo,Cole R.J.,Nikolic Stefan,Wheatle Carl,Diop Ousmane,Bolmaro Leandro,Ricci Giampaolo,Mannion Nico,Guduric Marko
Venezia - Olimpia Milano 26-04-26,1438.408969242,14.014473600999963,OFFENSE,OFFENSE: 31,,,,,,,,,,,,,,,,R LAY UP,,,,,,,,CUT,,ATO,#10 Bolmaro Leandro,#10 Bolmaro Leandro,#23 Guduric Marko,,5,2 Q,IN+,PASS,INSIDE  CUT,,ATO,Rim,Y,,,,,2,07:06,Bolmaro Leandro,TWO_POINT_MADE,07:00,18,18,37,Horton Chris,Candi Leonardo,Cole R.J.,Nikolic Stefan,Wheatle Carl,Diop Ousmane,Bolmaro Leandro,Ricci Giampaolo,Mannion Nico,Guduric Marko
Venezia - Olimpia Milano 26-04-26,1460.020839648,5.833210861999987,OFFENSE,OFFENSE: 32,,,,,,,,,,,FB,,,,,,,,,,,,,,,FB,,#10 Bolmaro Leandro,,,4,2 Q,3P+,,FB,,,Left Corner 3,Y,,,,,2,06:44,Bolmaro Leandro,THREE_POINT_MADE,06:44,17,18,40,Horton Chris,Candi Leonardo,Cole R.J.,Nikolic Stefan,Wheatle Carl,Diop Ousmane,Bolmaro Leandro,Ricci Giampaolo,Mannion Nico,Guduric Marko
Venezia - Olimpia Milano 26-04-26,1473.3247443749945,7.607588959005625,OFFENSE,OFFENSE: 33,,,,,,,,,,,OR,#1 Mannion Nico,SCREENER,#25 Diop Ousmane,HANDLER,R DRIVE OP DR.,DROP,SLIP,,,SLOT L,5,,,,5,,#1 Mannion Nico,,,3,2 Q,IN-,,P&R Handler,,,Rim,Y,,,,,2,06:31,Mannion Nico,TWO_POINT_MISSED,06:29,22,20,40,Horton Chris,Candi Leonardo,Cole R.J.,Nikolic Stefan,Wheatle Carl,Diop Ousmane,Bolmaro Leandro,Ricci Giampaolo,Mannion Nico,Guduric Marko
Venezia - Olimpia Milano 26-04-26,1480.932333334,5.323622832999945,OFFENSE,OFFENSE: 34,,,,,,,,,,,,,,,,R LAY UP,,,,,,,,,,OR,,#25 Diop Ousmane,,,5,2 Q,IN+,,OR,,,Rim,Y,,,,,2,06:24,Diop Ousmane,TWO_POINT_MADE,06:20,14,20,42,Horton Chris,Candi Leonardo,Cole R.J.,Nikolic Stefan,Wheatle Carl,Diop Ousmane,Bolmaro Leandro,Ricci Giampaolo,Mannion Nico,Guduric Marko
Venezia - Olimpia Milano 26-04-26,1550.380993249,11.052813791999824,OFFENSE,OFFENSE: 35,,,,,,,,,,,FB,#23 Guduric Marko,SCREENER,#17 Ricci Giampaolo,HANDLER,,TRAIL HO,,,,SIDE R,4,,,,L SIDE,,#23 Guduric Marko,,,1,2 Q,TO,,HO Handler,,,,Y,,,,,2,06:04,Guduric Marko,TURNOVER,06:02,22,20,42,Valentine Denzel,Cole R.J.,Tessitori Amedeo,Nikolic Stefan,Wheatle Carl,Diop Ousmane,Ricci Giampaolo,Mannion Nico,Shields Shavon,Guduric Marko
Venezia - Olimpia Milano 26-04-26,1588.552217576,13.678060975000108,OFFENSE,OFFENSE: 36,,,,,,,,,,,OR,#23 Guduric Marko,SCREENER,#25 Diop Ousmane,HANDLER,,HEDGE,FLIP,,SHORT ROLL,TOP R,5,,,,FLASH,,#1 Mannion Nico,,,3,2 Q,3P-,,P&R Spot up,,,Right Wing 3,Y,,,,,2,05:43,Mannion Nico,THREE_POINT_MISSED,05:36,13,22,42,Valentine Denzel,Cole R.J.,Tessitori Amedeo,Parks Jordan,Wheatle Carl,Diop Ousmane,Ricci Giampaolo,Mannion Nico,Shields Shavon,Guduric Marko
Venezia - Olimpia Milano 26-04-26,1602.230278551,8.911488115666543,OFFENSE,OFFENSE: 37,,,,,,,,,,,,,,,,,,,,,,,,,,OR,,#17 Ricci Giampaolo,,,,2 Q,F,,OR,,,,Y,,,,,2,05:29,Ricci Giampaolo,PERSONAL_FOUL_RECEIVED,05:36,13,22,42,Valentine Denzel,Cole R.J.,Tessitori Amedeo,Parks Jordan,Wheatle Carl,Diop Ousmane,Ricci Giampaolo,Mannion Nico,Shields Shavon,Guduric Marko
Venezia - Olimpia Milano 26-04-26,1629.9190777777778,12.695134294222271,OFFENSE,OFFENSE: 38,BOB 1 BLUE,,,,,,,,,,,#23 Guduric Marko,SCREENER,#25 Diop Ousmane,HANDLER,L DRIVE OP DR.,REJECT,,,,SLOT L,5,,,,,,#23 Guduric Marko,,,5,2 Q,IN+,,P&R Handler,,,Rim,Y,,,,,2,05:27,Guduric Marko,THREE_POINT_MISSED,00:03,,39,52,Valentine Denzel,Cole R.J.,Parks Jordan,Lever Alessandro,Bowman Ky,Bolmaro Leandro,Ellis Quinn,Guduric Marko,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,1692.381348429,26.460980895000148,OFFENSE,OFFENSE: 39,,,,,,,,,,,,#12 Brooks Armoni,SCREENER,#16 Le Day Zach,HANDLER,,SWITCH LP,,,,TOP R,4,,PU,,AWAY SHORT 4,#16 Le Day Zach,#32 Nebo Josh,,,5,2 Q,1-2 FT,,P&R Cut,,,Rim,Y,,,,,2,04:58,Nebo Josh,PERSONAL_FOUL_RECEIVED,04:45,11,24,44,Valentine Denzel,Cole R.J.,Tessitori Amedeo,Parks Jordan,Wheatle Carl,LeDay Zach,Ellis Quinn,Shields Shavon,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,1769.636601128,14.714167097999962,OFFENSE,OFFENSE: 40,,,,,,,,,,,,#31 Shields Shavon,SCREENER,#32 Nebo Josh,HANDLER,,SWITCH LP,,,,SLOT R,5,,PU,,DRAG,#32 Nebo Josh,#32 Nebo Josh,,,2,2 Q,TO,,P&R Post up,,,,Y,,,,,2,04:26,Nebo Josh,TURNOVER,04:25,23,24,45,Valentine Denzel,Cole R.J.,Tessitori Amedeo,Parks Jordan,Wheatle Carl,LeDay Zach,Ellis Quinn,Shields Shavon,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,1855.2077333333334,23.17612737566651,OFFENSE,OFFENSE: 41,,,,,,,,,,,,#3 Ellis Quinn,SCREENER,#32 Nebo Josh,HANDLER,C&S MOV. R-L,DROP,FLIP,,,TOP L,5,,P&R,,FREE LANCE,#3 Ellis Quinn,#3 Ellis Quinn,,MAN,3,2 Q,3P-,,P&R Spot up,,,Top of Key 3,Y,,,,,2,04:03,Ellis Quinn,TWO_POINT_MADE,03:01,,31,47,Valentine Denzel,Cole R.J.,Tessitori Amedeo,Parks Jordan,Bowman Ky,LeDay Zach,Ellis Quinn,Shields Shavon,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,1959.255996664,27.832391555000186,OFFENSE,OFFENSE: 42,,,,,,,,,,,,,,,,R STEP BACK,SHORT HEDGE,,,,TOP R,5,,,"BROKEN PLAY, BROKEN PLAY",AWAY SIDE,,#31 Shields Shavon,,ZONE,1,2 Q,2P-,,P&R 1on1,,,Right Wing Mid-Range,Y,,,,,2,03:35,Shields Shavon,TWO_POINT_MISSED,03:22,11,28,45,Valentine Denzel,Cole R.J.,Tessitori Amedeo,Parks Jordan,Bowman Ky,LeDay Zach,Ellis Quinn,Shields Shavon,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,1998.017345233,18.704354514999977,OFFENSE,OFFENSE: 43,,,,,,,,,,,,#3 Ellis Quinn,SCREENER,#32 Nebo Josh,HANDLER,L DRIVE OP DR.,DROP,,,,SLOT R,5,,P&R,,5,#3 Ellis Quinn,#3 Ellis Quinn,,,5,2 Q,2P + 1,,P&R Handler,,,Rim,Y,,,,,2,03:00,Ellis Quinn,TWO_POINT_MADE,03:01,,31,47,Valentine Denzel,Cole R.J.,Tessitori Amedeo,Parks Jordan,Bowman Ky,LeDay Zach,Ellis Quinn,Shields Shavon,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,2059.722548522,22.611979317000078,OFFENSE,OFFENSE: 44,,,,,,,,,,,FB,#31 Shields Shavon,SCREENER,#32 Nebo Josh,HANDLER,FADE AWAY,DROP,,,,TOP R,5,,P&R,,AWAY,#31 Shields Shavon,#16 Le Day Zach,,,3,2 Q,2P+,,P&R 1on1,,,Left Short Corner,Y,,,,,2,02:36,LeDay Zach,TWO_POINT_MADE,02:26,14,34,50,Valentine Denzel,Cole R.J.,Tessitori Amedeo,Parks Jordan,Bowman Ky,LeDay Zach,Ellis Quinn,Shields Shavon,Nebo Josh,Brooks Armoni
